,Retail turnover per capita - Current Prices ;  Total (State) ;,Retail turnover per capita - Current Prices ;  Total (State) ;,Retail turnover per capita - Current Prices ;  Total (State) ;,Retail turnover per capita - Chain Volume Measures ;  Total (State) ;,Retail turnover per capita - Chain Volume Measures ;  Total (State) ;,Retail turnover per capita - Chain Volume Measures ;  Total (State) ;
Unit,$,$,$,$,$,$
Series Type,Original,Seasonally Adjusted,Trend,Original,Seasonally Adjusted,Trend
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3
Series Start,Sep-1983,Sep-1983,Sep-1983,Sep-1983,Sep-1983,Sep-1983
Series End,Sep-2017,Sep-2017,Sep-2017,Sep-2017,Sep-2017,Sep-2017
No. Obs,137,137,137,137,137,137
Series ID,A83895054W,A83895056A,A83895058F,A83895055X,A83895057C,A83895059J
Sep-1983,733.6,761.9,763.2,1416.4,1476.4,1478.1
Dec-1983,889.6,773.3,773.4,1694.0,1483.3,1481.8
Mar-1984,736.7,785.7,783.3,1389.5,1484.8,1484.5
Jun-1984,764.0,790.5,793.0,1432.3,1487.2,1487.6
Sep-1984,766.3,804.6,803.6,1420.8,1489.6,1492.1
Dec-1984,936.3,818.5,818.1,1722.6,1503.5,1498.3
Mar-1985,774.2,834.4,837.5,1399.1,1503.6,1507.5
Jun-1985,833.4,863.4,862.0,1474.6,1519.9,1523.5
Sep-1985,849.8,885.2,885.6,1482.1,1541.6,1538.5
Dec-1985,1043.4,911.6,904.9,1782.1,1558.2,1549.0
Mar-1986,845.6,912.9,923.0,1423.6,1537.3,1554.4
Jun-1986,913.2,945.3,941.4,1515.1,1565.2,1553.6
Sep-1986,925.4,962.6,958.4,1493.0,1551.4,1545.9
Dec-1986,1112.1,968.2,971.6,1753.7,1526.7,1535.2
Mar-1987,909.5,984.3,983.8,1416.7,1532.3,1535.0
Jun-1987,963.6,997.7,1001.3,1497.9,1550.3,1554.1
Sep-1987,987.6,1024.2,1019.2,1523.4,1584.9,1574.8
Dec-1987,1190.1,1036.3,1035.5,1814.6,1587.8,1586.5
Mar-1988,987.2,1045.5,1051.2,1487.2,1581.7,1589.2
Jun-1988,1031.6,1075.3,1069.3,1530.5,1600.6,1592.5
Sep-1988,1050.8,1087.5,1092.9,1537.7,1595.8,1606.7
Dec-1988,1283.8,1119.7,1118.6,1862.2,1627.3,1625.0
Mar-1989,1065.0,1146.8,1143.4,1530.4,1649.2,1638.7
Jun-1989,1123.5,1163.6,1166.8,1581.9,1639.0,1646.8
Sep-1989,1143.3,1186.3,1186.0,1588.0,1648.9,1651.8
Dec-1989,1367.1,1205.1,1202.5,1885.6,1662.6,1657.9
Mar-1990,1134.4,1211.9,1215.0,1555.8,1662.4,1662.1
Jun-1990,1182.7,1224.3,1220.8,1599.2,1654.2,1657.4
Sep-1990,1172.5,1224.4,1224.3,1588.6,1654.7,1647.5
Dec-1990,1387.3,1221.9,1225.6,1856.1,1629.8,1634.2
Mar-1991,1157.9,1238.1,1231.9,1528.8,1632.2,1629.9
Jun-1991,1190.5,1234.6,1247.5,1571.8,1628.0,1642.9
Sep-1991,1228.9,1277.1,1266.6,1619.5,1681.5,1666.6
Dec-1991,1452.5,1284.6,1285.5,1908.1,1687.7,1689.2
Mar-1992,1222.3,1293.2,1298.2,1599.2,1696.8,1702.7
Jun-1992,1268.3,1313.1,1303.6,1656.4,1716.7,1706.6
Sep-1992,1256.2,1301.0,1308.6,1642.9,1700.4,1707.0
Dec-1992,1493.0,1315.1,1315.0,1939.9,1707.3,1706.1
Mar-1993,1237.2,1324.8,1321.9,1589.4,1704.8,1705.8
Jun-1993,1288.5,1334.5,1331.0,1658.4,1717.6,1711.0
Sep-1993,1289.6,1333.2,1344.4,1656.0,1711.7,1725.6
Dec-1993,1555.8,1370.3,1363.5,1992.7,1755.6,1749.4
Mar-1994,1309.3,1388.5,1385.7,1675.8,1782.0,1776.2
Jun-1994,1342.1,1399.8,1406.4,1717.3,1791.9,1799.9
Sep-1994,1383.8,1430.9,1424.1,1765.8,1823.6,1816.3
Dec-1994,1633.8,1442.8,1445.8,2079.0,1834.1,1835.9
Mar-1995,1374.8,1466.9,1472.1,1733.3,1851.4,1860.4
Jun-1995,1452.2,1505.8,1501.1,1828.7,1896.9,1887.6
Sep-1995,1479.7,1527.4,1526.7,1849.5,1910.5,1912.7
Dec-1995,1736.9,1544.2,1543.1,2167.9,1930.3,1930.1
Mar-1996,1474.2,1549.8,1553.2,1839.6,1939.9,1941.8
Jun-1996,1502.9,1561.8,1557.9,1875.6,1951.3,1946.2
Sep-1996,1511.8,1563.2,1561.9,1889.2,1949.7,1947.5
Dec-1996,1753.1,1558.9,1568.3,2187.0,1939.3,1952.8
Mar-1997,1494.5,1588.8,1579.0,1865.5,1980.3,1967.9
Jun-1997,1528.6,1588.4,1594.6,1911.5,1983.4,1993.3
Sep-1997,1561.8,1610.6,1610.2,1964.6,2022.2,2018.9
Dec-1997,1831.5,1627.0,1621.8,2301.6,2042.1,2035.2
Mar-1998,1534.3,1630.7,1632.6,1919.3,2041.2,2044.2
Jun-1998,1575.6,1638.4,1641.3,1965.2,2044.5,2046.3
Sep-1998,1614.6,1662.6,1657.6,2008.9,2062.4,2058.3
Dec-1998,1884.9,1672.2,1682.9,2342.7,2072.1,2086.1
Mar-1999,1625.5,1721.0,1711.7,2017.2,2135.0,2123.4
Jun-1999,1660.7,1737.0,1740.1,2064.1,2162.5,2165.8
Sep-1999,1711.6,1758.5,1756.6,2132.7,2194.5,2199.7
Dec-1999,2005.5,1776.6,1769.7,2513.5,2233.1,2216.8
Mar-2000,1677.1,1761.2,1783.5,2093.1,2209.7,2219.4
Jun-2000,1752.2,1825.3,1794.6,2179.1,2280.4,2213.1
Sep-2000,1742.0,1791.8,1810.2,2127.9,2188.4,2214.5
Dec-2000,2056.6,1830.5,1837.1,2506.7,2227.7,2231.5
Mar-2001,1778.0,1882.5,1872.4,2133.2,2258.9,2254.8
Jun-2001,1836.9,1914.3,1910.0,2191.1,2282.8,2278.0
Sep-2001,1872.7,1931.8,1938.7,2229.8,2295.1,2299.1
Dec-2001,2213.2,1969.3,1970.6,2615.2,2322.8,2327.3
Mar-2002,1900.0,2009.3,2007.0,2233.3,2363.1,2362.2
Jun-2002,1960.9,2042.9,2040.8,2306.8,2403.3,2396.1
Sep-2002,2000.0,2064.5,2065.5,2345.1,2414.3,2418.7
Dec-2002,2347.5,2088.8,2084.5,2748.7,2440.6,2432.4
Mar-2003,1982.0,2102.0,2106.6,2304.8,2445.0,2452.8
Jun-2003,2055.4,2137.8,2142.0,2389.8,2487.6,2495.9
Sep-2003,2124.0,2188.7,2190.3,2480.6,2557.6,2555.6
Dec-2003,2523.5,2245.9,2238.1,2946.0,2626.5,2613.6
