Date,Retail Turnover per Capita,Log,,
Sep-1983,733.6,2.9,,
Dec-1983,889.6,2.9,,
Mar-1984,736.7,2.9,,
Jun-1984,764.0,2.9,,
Sep-1984,766.3,2.9,,
Dec-1984,936.3,3.0,,
Mar-1985,774.2,2.9,,
Jun-1985,833.4,2.9,,
Sep-1985,849.8,2.9,,
Dec-1985,1043.4,3.0,,
Mar-1986,845.6,2.9,,
Jun-1986,913.2,3.0,,
Sep-1986,925.4,3.0,,
Dec-1986,1112.1,3.0,,
Mar-1987,909.5,3.0,,
Jun-1987,963.6,3.0,,
Sep-1987,987.6,3.0,,
Dec-1987,1190.1,3.1,,
Mar-1988,987.2,3.0,,
Jun-1988,1031.6,3.0,,
Sep-1988,1050.8,3.0,,
Dec-1988,1283.8,3.1,,
Mar-1989,1065.0,3.0,,
Jun-1989,1123.5,3.1,,
Sep-1989,1143.3,3.1,,
Dec-1989,1367.1,3.1,,
Mar-1990,1134.4,3.1,,
Jun-1990,1182.7,3.1,,
Sep-1990,1172.5,3.1,,
Dec-1990,1387.3,3.1,,
Mar-1991,1157.9,3.1,,
Jun-1991,1190.5,3.1,,
Sep-1991,1228.9,3.1,,
Dec-1991,1452.5,3.2,,
Mar-1992,1222.3,3.1,,
Jun-1992,1268.3,3.1,,
Sep-1992,1256.2,3.1,,
Dec-1992,1493.0,3.2,,
Mar-1993,1237.2,3.1,,
Jun-1993,1288.5,3.1,,
Sep-1993,1289.6,3.1,,
Dec-1993,1555.8,3.2,,
Mar-1994,1309.3,3.1,,
Jun-1994,1342.1,3.1,,
Sep-1994,1383.8,3.1,,
Dec-1994,1633.8,3.2,,
Mar-1995,1374.8,3.1,,
Jun-1995,1452.2,3.2,,
Sep-1995,1479.7,3.2,,
Dec-1995,1736.9,3.2,,
Mar-1996,1474.2,3.2,,
Jun-1996,1502.9,3.2,,
Sep-1996,1511.8,3.2,,
Dec-1996,1753.1,3.2,,
Mar-1997,1494.5,3.2,,
Jun-1997,1528.6,3.2,,
Sep-1997,1561.8,3.2,,
Dec-1997,1831.5,3.3,,
Mar-1998,1534.3,3.2,,
Jun-1998,1575.6,3.2,,
Sep-1998,1614.6,3.2,,
Dec-1998,1884.9,3.3,,
Mar-1999,1625.5,3.2,,
Jun-1999,1660.7,3.2,,
Sep-1999,1711.6,3.2,,
Dec-1999,2005.5,3.3,,
Mar-2000,1677.1,3.2,,
Jun-2000,1752.2,3.2,,
Sep-2000,1742.0,3.2,,
Dec-2000,2056.6,3.3,,
Mar-2001,1778.0,3.2,,
Jun-2001,1836.9,3.3,,
Sep-2001,1872.7,3.3,,
Dec-2001,2213.2,3.3,,
Mar-2002,1900.0,3.3,,
Jun-2002,1960.9,3.3,,
Sep-2002,2000.0,3.3,,
Dec-2002,2347.5,3.4,,
Mar-2003,1982.0,3.3,,
Jun-2003,2055.4,3.3,,
Sep-2003,2124.0,3.3,,
Dec-2003,2523.5,3.4,,
Mar-2004,2167.9,3.3,,
Jun-2004,2203.5,3.3,,
Sep-2004,2256.0,3.4,,
Dec-2004,2598.6,3.4,,
Mar-2005,2180.9,3.3,,
Jun-2005,2225.7,3.3,,
Sep-2005,2276.1,3.4,,
Dec-2005,2633.2,3.4,,
Mar-2006,2241.4,3.4,,
Jun-2006,2331.9,3.4,,
Sep-2006,2383.9,3.4,,
Dec-2006,2768.4,3.4,,
Mar-2007,2386.9,3.4,,
Jun-2007,2439.3,3.4,,
Sep-2007,2525.7,3.4,,
Dec-2007,2934.8,3.5,,
Mar-2008,2496.9,3.4,,
Jun-2008,2504.1,3.4,,
Sep-2008,2549.9,3.4,,
Dec-2008,2971.5,3.5,,
Mar-2009,2554.1,3.4,,
Jun-2009,2635.0,3.4,,
Sep-2009,2641.6,3.4,,
Dec-2009,3068.8,3.5,,
Mar-2010,2582.5,3.4,,
Jun-2010,2628.6,3.4,,
Sep-2010,2715.2,3.4,,
Dec-2010,3082.6,3.5,,
Mar-2011,2608.4,3.4,,
Jun-2011,2661.9,3.4,,
Sep-2011,2732.4,3.4,,
Dec-2011,3129.7,3.5,,
Mar-2012,2671.6,3.4,,
Jun-2012,2718.6,3.4,,
Sep-2012,2775.8,3.4,,
Dec-2012,3150.7,3.5,,
Mar-2013,2701.6,3.4,,
Jun-2013,2728.5,3.4,,
Sep-2013,2803.2,3.4,,
Dec-2013,3253.0,3.5,,
Mar-2014,2803.7,3.4,,
Jun-2014,2837.3,3.5,,
Sep-2014,2919.3,3.5,,
Dec-2014,3362.1,3.5,,
Mar-2015,2891.1,3.5,,
Jun-2015,2917.9,3.5,,
Sep-2015,2998.7,3.5,,
Dec-2015,3458.8,3.5,,
Mar-2016,2980.7,3.5,,
